'Station','date:time',Depth,'Quality Code','Temperature'
'AKUL232','20060929T1200',1250,'',-3.81652
'AKUL232','20071015T1200',1250,'',-3.69661
'AKUL232','20081012T0000',1250,'',-3.61043
'AKUL232','20091014T0000',1250,'',-3.59963
'AKUL232','20101017T0000',1250,'',-3.54118
'AKUL232','20110923T0000',1250,'',-3.42150
'AKUL232','19900621T1200',1550,'',-4.56883
'AKUL232','19900622T1200',1550,'',-4.58923
'AKUL232','19900623T1200',1550,'',-4.58923
'AKUL232','19900624T1200',1550,'',-4.58923
'AKUL232','19900625T1200',1550,'',-4.60962
'AKUL232','19900626T1200',1550,'',-4.58923
'AKUL232','19900627T1200',1550,'',-4.60962
'AKUL232','19900628T1200',1550,'',-4.60962
'AKUL232','19900630T1200',1550,'',-4.60962
'AKUL232','19900703T1200',1550,'',-4.58923
'AKUL232','19900704T1200',1550,'',-4.60962
'AKUL232','19900705T1200',1550,'',-4.60962
'AKUL232','19900708T1200',1550,'',-4.60962
'AKUL232','19900712T1200',1550,'',-4.60962
'AKUL232','19900714T1200',1550,'',-4.60962
'AKUL232','19900715T1200',1550,'',-4.60962
'AKUL232','19900716T1200',1550,'',-4.60962
'AKUL232','19900718T1200',1550,'',-4.60962
'AKUL232','19900719T1200',1550,'',-4.60962
'AKUL232','19900720T1200',1550,'',-4.60962
'AKUL232','19900722T1200',1550,'',-4.60962
'AKUL232','19900724T1200',1550,'',-4.60962
'AKUL232','19900726T1200',1550,'',-4.60962
'AKUL232','19900727T1200',1550,'',-4.60962
'AKUL232','19900731T1200',1550,'',-4.60962
'AKUL232','19900802T1200',1550,'',-4.60962
'AKUL232','19900804T1200',1550,'',-4.60962
'AKUL232','19900806T1200',1550,'',-4.56883
'AKUL232','19900807T1200',1550,'',-4.52794
'AKUL232','19900808T1200',1550,'',-4.50746
'AKUL232','19900809T1200',1550,'',-4.50746
'AKUL232','19900810T1200',1550,'',-4.52794
'AKUL232','19900811T1200',1550,'',-4.52794
'AKUL232','19900814T1200',1550,'',-4.54839
'AKUL232','19900817T1200',1550,'',-4.56883
'AKUL232','19900821T1200',1550,'',-4.60962
'AKUL232','19900825T1200',1550,'',-4.58923
'AKUL232','19900828T1200',1550,'',-4.56883
'AKUL232','19900831T1200',1550,'',-4.60962
'AKUL232','19900903T1200',1550,'',-4.58923
'AKUL232','19900909T1200',1550,'',-4.56883
'AKUL232','19900912T1200',1550,'',-4.56883
'AKUL232','19900914T1200',1550,'',-4.58923
'AKUL232','19900917T1200',1550,'',-4.60962
'AKUL232','19900918T1200',1550,'',-4.60962
'AKUL232','19900920T1200',1550,'',-4.58923
'AKUL232','19900926T1200',1550,'',-4.56883
'AKUL232','19900927T1200',1550,'',-4.56883
'AKUL232','19900930T1200',1550,'',-4.60962
'AKUL232','19901002T1200',1550,'',-4.60962
'AKUL232','19901003T1200',1550,'',-4.62997
'AKUL232','19901005T1200',1550,'',-4.60962
'AKUL232','19901007T1200',1550,'',-4.60962
'AKUL232','19901009T1200',1550,'',-4.60962
'AKUL232','19901012T1200',1550,'',-4.60962
'AKUL232','19901014T1200',1550,'',-4.60962
'AKUL232','19901015T1200',1550,'',-4.60962
'AKUL232','19901017T1200',1550,'',-4.60962
'AKUL232','19901021T1200',1550,'',-4.60962
'AKUL232','19901022T1200',1550,'',-4.60962
'AKUL232','19901023T1200',1550,'',-4.60962
'AKUL232','19901024T1200',1550,'',-4.60962
'AKUL232','19901026T1200',1550,'',-4.60962
'AKUL232','19901027T1200',1550,'',-4.60962
'AKUL232','19901029T1200',1550,'',-4.60962
'AKUL232','19901030T1200',1550,'',-4.60962
'AKUL232','19901031T1200',1550,'',-4.60962
'AKUL232','19901101T1200',1550,'',-4.60962
'AKUL232','19901106T1200',1550,'',-4.60962
'AKUL232','19901109T1200',1550,'',-4.60962
'AKUL232','19901111T1200',1550,'',-4.60962
'AKUL232','19901112T1200',1550,'',-4.60962
'AKUL232','19901117T1200',1550,'',-4.58923
'AKUL232','19901123T1200',1550,'',-4.60962
'AKUL232','19901125T1200',1550,'',-4.60962
'AKUL232','19901130T1200',1550,'',-4.60962
'AKUL232','19920423T1200',1550,'',-4.75161
'AKUL232','19920427T1200',1550,'',-4.73140
'AKUL232','19920430T1200',1550,'',-4.73140
'AKUL232','19920514T1200',1550,'',-4.75161
'AKUL232','19920519T1200',1550,'',-4.75161
'AKUL232','19920606T1200',1550,'',-4.75161
'AKUL232','19920611T1200',1550,'',-4.75161
'AKUL232','19920706T1200',1550,'',-4.77180
'AKUL232','19920725T1200',1550,'',-4.77180
'AKUL232','19920806T1200',1550,'',-4.75161
'AKUL232','19920813T1200',1550,'',-4.71116
'AKUL232','19920817T1200',1550,'',-4.75161
'AKUL232','19920827T1200',1550,'',-4.69090
'AKUL232','19920831T1200',1550,'',-4.73140
'AKUL232','19920906T1200',1550,'',-4.73140
'AKUL232','19920913T1200',1550,'',-4.75161
'AKUL232','19920917T1200',1550,'',-4.73140
'AKUL232','19921112T1200',1550,'',-4.75161
'AKUL232','19930520T1200',1550,'',-4.75161
'AKUL232','19930527T1200',1550,'',-4.77180
'AKUL232','19930531T1200',1550,'',-4.77180
'AKUL232','19930617T1200',1550,'',-4.75161
'AKUL232','19930623T1200',1550,'',-4.75161
'AKUL232','19930708T1200',1550,'',-4.75161
'AKUL232','19930715T1200',1550,'',-4.73140
'AKUL232','19930720T1200',1550,'',-4.77180
'AKUL232','19930802T1200',1550,'',-4.77180
'AKUL232','19930805T1200',1550,'',-4.77180
'AKUL232','19930828T1200',1550,'',-4.93445
'AKUL232','20020909T0200',1550,'',-3.91014
'AKUL232','20040622T1200',1550,'',-3.86978
'AKUL232','20040831T1200',1550,'',-3.79730
'AKUL232','20041019T1200',1550,'',-3.79730
'AKUL232','20050627T1200',1550,'',-3.84210
'AKUL232','20050802T1200',1550,'',-3.82292
'AKUL232','20060929T1200',1550,'',-3.81438
'AKUL232','20071015T1200',1550,'',-3.73310
'AKUL232','20081012T0000',1550,'',-3.64280
'AKUL232','20091014T0000',1550,'',-3.61475
'AKUL232','20101017T0000',1550,'',-3.56718
'AKUL232','20110923T0000',1550,'',-3.48689
'AKUL232','19900621T1200',1750,'',-4.50746
'AKUL232','19900622T1200',1750,'',-4.50746
'AKUL232','19900623T1200',1750,'',-4.52794
'AKUL232','19900624T1200',1750,'',-4.52794
'AKUL232','19900625T1200',1750,'',-4.56883
'AKUL232','19900626T1200',1750,'',-4.56883
'AKUL232','19900627T1200',1750,'',-4.56883
'AKUL232','19900628T1200',1750,'',-4.56883
'AKUL232','19900630T1200',1750,'',-4.58923
'AKUL232','19900703T1200',1750,'',-4.58923
'AKUL232','19900704T1200',1750,'',-4.58923
'AKUL232','19900705T1200',1750,'',-4.58923
'AKUL232','19900708T1200',1750,'',-4.58923
'AKUL232','19900712T1200',1750,'',-4.58923
'AKUL232','19900714T1200',1750,'',-4.58923
'AKUL232','19900715T1200',1750,'',-4.58923
'AKUL232','19900716T1200',1750,'',-4.58923
'AKUL232','19900718T1200',1750,'',-4.58923
'AKUL232','19900719T1200',1750,'',-4.58923
'AKUL232','19900720T1200',1750,'',-4.58923
'AKUL232','19900722T1200',1750,'',-4.58923
'AKUL232','19900724T1200',1750,'',-4.54839
'AKUL232','19900726T1200',1750,'',-4.56883
'AKUL232','19900727T1200',1750,'',-4.58923
'AKUL232','19900731T1200',1750,'',-4.56883
'AKUL232','19900802T1200',1750,'',-4.58923
'AKUL232','19900804T1200',1750,'',-4.58923
'AKUL232','19900806T1200',1750,'',-4.56883
'AKUL232','19900807T1200',1750,'',-4.54839
'AKUL232','19900808T1200',1750,'',-4.54839
'AKUL232','19900809T1200',1750,'',-4.54839
'AKUL232','19900810T1200',1750,'',-4.56883
'AKUL232','19900811T1200',1750,'',-4.54839
'AKUL232','19900814T1200',1750,'',-4.56883
'AKUL232','19900817T1200',1750,'',-4.58923
'AKUL232','19900821T1200',1750,'',-4.58923
'AKUL232','19900825T1200',1750,'',-4.54839
'AKUL232','19900828T1200',1750,'',-4.56883
'AKUL232','19900831T1200',1750,'',-4.58923
'AKUL232','19900903T1200',1750,'',-4.56883
'AKUL232','19900909T1200',1750,'',-4.54839
'AKUL232','19900912T1200',1750,'',-4.56883
'AKUL232','19900914T1200',1750,'',-4.58923
'AKUL232','19900917T1200',1750,'',-4.58923
'AKUL232','19900918T1200',1750,'',-4.60962
'AKUL232','19900920T1200',1750,'',-4.58923
'AKUL232','19900926T1200',1750,'',-4.60962
'AKUL232','19900927T1200',1750,'',-4.56883
'AKUL232','19900930T1200',1750,'',-4.58923
'AKUL232','19901002T1200',1750,'',-4.60962
'AKUL232','19901003T1200',1750,'',-4.58923
'AKUL232','19901005T1200',1750,'',-4.54839
'AKUL232','19901007T1200',1750,'',-4.58923
'AKUL232','19901009T1200',1750,'',-4.60962
'AKUL232','19901012T1200',1750,'',-4.58923
'AKUL232','19901014T1200',1750,'',-4.58923
'AKUL232','19901015T1200',1750,'',-4.60962
'AKUL232','19901017T1200',1750,'',-4.58923
'AKUL232','19901021T1200',1750,'',-4.58923
'AKUL232','19901022T1200',1750,'',-4.58923
'AKUL232','19901023T1200',1750,'',-4.58923
'AKUL232','19901024T1200',1750,'',-4.58923
'AKUL232','19901026T1200',1750,'',-4.58923
'AKUL232','19901027T1200',1750,'',-4.58923
'AKUL232','19901029T1200',1750,'',-4.58923
'AKUL232','19901030T1200',1750,'',-4.58923
'AKUL232','19901031T1200',1750,'',-4.58923
'AKUL232','19901101T1200',1750,'',-4.58923
'AKUL232','19901106T1200',1750,'',-4.58923
'AKUL232','19901109T1200',1750,'',-4.58923
'AKUL232','19901111T1200',1750,'',-4.58923
'AKUL232','19901112T1200',1750,'',-4.58923
'AKUL232','19901117T1200',1750,'',-4.56883
'AKUL232','19901123T1200',1750,'',-4.58923
'AKUL232','19901125T1200',1750,'',-4.58923
'AKUL232','19901130T1200',1750,'',-4.58923
'AKUL232','19920423T1200',1750,'',-4.71116
'AKUL232','19920427T1200',1750,'',-4.71116
